NMFS_DNA_ID	BOX_ID	BOX_POSITION	SAMPLE_ID	BATCH_ID	PROJECT_NAME	GENUS	SPECIES	LENGTH	WEIGHT	SEX	AGE	REPORTED_LIFE_STAGE	PHENOTYPE	HATCHERY_MARK	TAG_NUMBER	COLLECTION_DATE	ESTIMATED_DATE	PICKER	PICK_DATE	LEFTOVER_SAMPLE	SAMPLE_COMMENTS	NMFS_DNA_ID	SPECIES_CODE	COMMON_NAME	LANDFALL_PORT	CRUISE	HAUL	SITE	STATE_M	COUNTY_M	LATITUDE_M	LONGITUDE_M	LOCATION_COMMENTS_M
R003937	R042	1A	F K24 larva 1	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003937	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003938	R042	1B	F K24 larva 2	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003938	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003939	R042	1C	F K24 larva 3	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003939	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003940	R042	1D	F K24 larva 4	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003940	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003941	R042	1E	F K24 larva 5	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003941	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003942	R042	1F	F K24 larva 6	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003942	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003943	R042	1G	F K24 larva 7	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003943	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003944	R042	1H	F K24 larva 8	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003944	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003945	R042	2A	F K24 larva 9	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003945	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003946	R042	2B	F K24 larva 10	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003946	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003947	R042	2C	F K24 larva 11	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003947	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003948	R042	2D	F K24 larva 12	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003948	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003949	R042	2E	F K24 larva 13	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003949	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003950	R042	2F	F K24 larva 14	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003950	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003951	R042	2G	F K24 larva 15	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003951	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003952	R042	2H	F K24 larva 16	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003952	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003953	R042	3A	F K24 larva 17	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003953	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003954	R042	3B	F K24 larva 18	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003954	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003955	R042	3C	F K24 larva 19	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003955	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003956	R042	3D	F K24 larva 20	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003956	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003957	R042	3E	F K24 larva 21	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003957	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003958	R042	3F	F K24 larva 22	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003958	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003959	R042	3G	F K24 larva 23	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003959	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003960	R042	3H	F K24 larva 24	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003960	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003961	R042	4A	F K24 larva 25	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003961	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003962	R042	4B	F K24 larva 26	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003962	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R003963	R042	4C	F K24 larva 27	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R003963	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
