NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,BATCH_ID,PROJECT_NAME,GENUS,SPECIES,LENGTH,WEIGHT,SEX,AGE,REPORTED_LIFE_STAGE,PHENOTYPE,TAG_NUMBER,COLLECTION_DATE,ESTIMATED_DATE,PICKER,PICK_DATE,LEFTOVER_SAMPLE,SAMPLE_COMMENTS,Marine::NMFS_DNA_ID,Marine::SPECIES_CODE,Marine::COMMON_NAME,Marine::SITE,Marine::STATE_M,Marine::COUNTY_M,Marine::LATITUDE_M,Marine::LONGITUDE_M,Marine::LOCATION_COMMENTS_M
R011732,R125,1A,A-072513-001,4143,NSF Rockfish Dispersal Project,Sebastes,mystinus,360.0,,,,ADULT,,,07/25/2013,,DSW,08/19/2013,,,R011732,SMYS,Blue Rockfish,,,,36.54221667,-121.9374833,
R011733,R125,1B,A-072513-002,4143,NSF Rockfish Dispersal Project,Sebastes,carnatus,295,,,,ADULT,,,07/25/2013,,DSW,08/19/2013,,,R011733,SCAR,Gopher Rockfish,,,,36.54646667,-121.9384,
R011734,R125,1C,A-072513-003,4143,NSF Rockfish Dispersal Project,Sebastes,carnatus,240,,,,ADULT,,,07/25/2013,,DSW,08/19/2013,,,R011734,SCAR,Gopher Rockfish,,,,36.54646667,-121.9384,
R011735,R125,1D,A-072513-004,4143,NSF Rockfish Dispersal Project,Sebastes,melanops,240,,,,ADULT,,,07/25/2013,,DSW,08/19/2013,,,R011735,SMEL,Black Rockfish,,,,36.54646667,-121.9384,
R011736,R125,1E,A-072513-005,4143,NSF Rockfish Dispersal Project,Sebastes,carnatus,260,,,,ADULT,,,07/25/2013,,DSW,08/19/2013,,,R011736,SCAR,Gopher Rockfish,,,,36.54646667,-121.9384,
R011737,R125,1F,A-072513-006,4143,NSF Rockfish Dispersal Project,Sebastes,carnatus,220,,,,ADULT,,,07/25/2013,,DSW,08/19/2013,,,R011737,SCAR,Gopher Rockfish,,,,36.54646667,-121.9384,
R011738,R125,1G,A-072513-007,4143,NSF Rockfish Dispersal Project,Sebastes,carnatus,230,,,,ADULT,,,07/25/2013,,DSW,08/19/2013,,,R011738,SCAR,Gopher Rockfish,,,,36.54646667,-121.9384,
R011739,R125,1H,A-072513-008,4143,NSF Rockfish Dispersal Project,Sebastes,chrysomelas,205,,,,ADULT,,,07/25/2013,,DSW,08/19/2013,,,R011739,SCHR,black and yellow rockfish,,,,36.54646667,-121.9384,
R011740,R125,2A,A-072513-009,4143,NSF Rockfish Dispersal Project,Sebastes,melanops,265,,,,ADULT,,,07/25/2013,,DSW,08/19/2013,,,R011740,SMEL,Black Rockfish,,,,36.54646667,-121.9384,
R011741,R125,2B,A-072513-010,4143,NSF Rockfish Dispersal Project,Sebastes,mystinus,340,,,,ADULT,,,07/25/2013,,DSW,08/19/2013,,,R011741,SMYS,Blue Rockfish,,,,36.54221667,-121.9374833,
R011742,R125,2C,A-072513-011,4143,NSF Rockfish Dispersal Project,Scorpaenichthys,marmoratus,530,,,,ADULT,,,07/25/2013,,DSW,08/19/2013,,cabezon,R011742,SMAR,cabezon,,,,36.54221667,-121.9374833,
R011743,R125,2D,A-072513-012,4143,NSF Rockfish Dispersal Project,Sebastes,atrovirens,320,,,,ADULT,,,07/25/2013,,DSW,08/19/2013,,,R011743,SATR,Kelp Rockfish,,,,36.54221667,-121.9374833,
