gtseq_run file
15 gtseq15_96loci.rds
16 gtseq16_96loci.rds
17 gtseq17_96loci.rds
18 gtseq18_96loci.rds
19 gtseq19_96loci.rds
20 gtseq20_96loci.rds
21 gtseq21_96loci.rds
22 gtseq22_96loci.rds
23 gtseq23_96loci.rds
24 gtseq24_96loci.rds
25 gtseq25_96loci.rds
26 gtseq26_96loci.rds
27 gtseq27_96loci.rds
28 gtseq28_96loci.rds
29 gtseq29_96loci.rds
30 gtseq30_96loci.rds
31 gtseq31_96loci.rds
32 gtseq32_96loci.rds
33 gtseq33_96loci.rds
34 gtseq34_96loci.rds
35 gtseq35_96loci.rds
36 gtseq36_96loci.rds
37 gtseq37_96loci.rds
38 gtseq38_96loci.rds
39 gtseq39_96loci.rds
40 gtseq40_96loci.rds
41 gtseq41_96loci.rds
42 gtseq42_96loci.rds
43 gtseq43_96loci.rds
44 gtseq44_96loci.rds
45 gtseq45_96loci.rds
46 gtseq46_96loci.rds
47 gtseq47_96loci.rds
49 gtseq49_96loci.rds
50 gtseq50_96loci.rds
51 gtseq51_96loci.rds
52 gtseq52_v6.rds
53 gtseq53_96loci.rds
54 gtseq54.rds
