NMFS_DNA_ID species score
R013443 atrovirens 100.000
R013445 atrovirens 100.000
R013446 atrovirens 100.000
R013447 atrovirens 100.000
R013448 atrovirens 100.000
R013451 atrovirens 100.000
R013455 atrovirens 100.000
R013456 atrovirens 100.000
R013459 atrovirens 100.000
R013468 atrovirens 100.000
R013469 atrovirens 100.000
R013470 atrovirens 100.000
R013472 atrovirens 100.000
R013473 atrovirens 100.000
R013483 caurinus 100.000
R013489 atrovirens 100.000
R013493 atrovirens 100.000
R013495 atrovirens 100.000
R013515 atrovirens 100.000
R013584 atrovirens 100.000
R013585 atrovirens 100.000
R013586 atrovirens 100.000
R013589 atrovirens 100.000
R013590 atrovirens 100.000
R013591 atrovirens 100.000
R013592 atrovirens 100.000
R013593 atrovirens 100.000
R013594 atrovirens 100.000
R013641 caurinus 100.000
R013648 atrovirens 100.000
R013651 atrovirens 100.000
R013652 atrovirens 100.000
R013656 atrovirens 100.000
R013658 atrovirens 100.000
R013660 atrovirens 100.000
R013661 atrovirens 100.000
R013664 atrovirens 100.000
R013665 atrovirens 100.000
R013668 atrovirens 100.000
R013669 atrovirens 100.000
R013673 atrovirens 100.000
R013676 atrovirens 100.000
R013677 atrovirens 100.000
R013678 atrovirens 100.000
R013680 atrovirens 100.000
R013681 atrovirens 100.000
R013682 atrovirens 100.000
R013693 atrovirens 100.000
R013694 atrovirens 100.000
R013695 atrovirens 100.000
R013698 atrovirens 100.000
R013703 atrovirens 100.000
R013705 atrovirens 100.000
R013706 atrovirens 100.000
R013708 atrovirens 100.000
R013709 atrovirens 100.000
R013710 atrovirens 100.000
R013711 caurinus 100.000
R013712 atrovirens 100.000
R013713 atrovirens 100.000
R013714 atrovirens 100.000
R013718 atrovirens 100.000
R013723 carnatus 99.997
R013724 atrovirens 100.000
R013725 atrovirens 100.000
R013726 atrovirens 100.000
R013729 carnatus 99.714
R013736 carnatus 98.882
R013737 atrovirens 100.000
R013738 chrysomelas 76.334
R013739 atrovirens 100.000
R013740 atrovirens 100.000
R013741 atrovirens 100.000
R013742 atrovirens 100.000
R013743 atrovirens 100.000
R013744 atrovirens 100.000
R013745 atrovirens 100.000
R013747 atrovirens 100.000
R013752 atrovirens 100.000
R013756 atrovirens 100.000
R013758 atrovirens 100.000
R013760 atrovirens 100.000
R013761 atrovirens 100.000
R013762 atrovirens 100.000
R013763 atrovirens 100.000
R013766 atrovirens 100.000
R013767 atrovirens 100.000
R013768 atrovirens 100.000
R013769 atrovirens 100.000
R013770 atrovirens 100.000
R013771 atrovirens 100.000
R013772 atrovirens 100.000
R013773 atrovirens 100.000
R013775 atrovirens 100.000
R013776 atrovirens 100.000
R013777 atrovirens 100.000
R013778 atrovirens 100.000
R013779 atrovirens 100.000
R013781 atrovirens 100.000
R013785 carnatus 80.933
R013790 carnatus 99.999
R013794 atrovirens 100.000
R013795 atrovirens 100.000
R013796 atrovirens 100.000
R013797 atrovirens 100.000
R013798 atrovirens 100.000
R013799 atrovirens 100.000
R013800 atrovirens 100.000
R013801 atrovirens 100.000
R013805 atrovirens 100.000
R013806 atrovirens 100.000
R013808 atrovirens 100.000
R013810 atrovirens 100.000
R013811 atrovirens 100.000
R013814 atrovirens 100.000
R013817 atrovirens 100.000
R013818 atrovirens 100.000
R013819 atrovirens 100.000
R013820 atrovirens 100.000
R013821 atrovirens 100.000
R013822 atrovirens 100.000
R013823 atrovirens 100.000
R013824 atrovirens 100.000
R013827 atrovirens 100.000
R013832 atrovirens 100.000
R013833 atrovirens 100.000
R013834 atrovirens 100.000
